Season_End_Year,Team,Rank,MP,W,D,L,GD,Pts
2020,TSG Hoffenheim,6  ,34,15,7,12,0,52
2020,VfL Wolfsburg,7  ,34,13,10,11,2,49
2020,SC Freiburg,8  ,34,13,9,12,1,48
2020,E. Frankfurt,9  ,34,13,6,15,-1,45
2020,Hertha BSC,10  ,34,11,8,15,-11,41
2020,Union Berlin,11  ,34,12,5,17,-17,41
2020,FC Schalke 04,12  ,34,9,12,13,-20,39
2020,1.FSV Mainz 05,13  ,34,11,4,19,-21,37
2020,1.FC Köln,14  ,34,10,6,18,-18,36
2020,FC Augsburg,15  ,34,9,9,16,-18,36
2020,Werder Bremen,16  ,34,8,7,19,-27,31
2020,F. Düsseldorf,17  ,34,6,12,16,-31,30
2020,SC Paderborn,18  ,34,4,8,22,-37,20
2021,Bayern Munich,1  ,34,24,6,4,55,78
2021,RB Leipzig,2  ,34,19,8,7,28,65
2021,Bor. Dortmund,3  ,34,20,4,10,29,64
2021,VfL Wolfsburg,4  ,34,17,10,7,24,61
2021,E. Frankfurt,5  ,34,16,12,6,16,60
2021,B. Leverkusen,6  ,34,14,10,10,14,52
2021,Union Berlin,7  ,34,12,14,8,7,50
2021,Bor. M'gladbach,8  ,34,13,10,11,8,49
2021,VfB Stuttgart,9  ,34,12,9,13,1,45
2021,SC Freiburg,10  ,34,12,9,13,0,45
2021,TSG Hoffenheim,11  ,34,11,10,13,-2,43
2021,1.FSV Mainz 05,12  ,34,10,9,15,-17,39
2021,FC Augsburg,13  ,34,10,6,18,-18,36
2021,Hertha BSC,14  ,34,8,11,15,-11,35
2021,Arm. Bielefeld,15  ,34,9,8,17,-26,35
2021,1.FC Köln,16  ,34,8,9,17,-26,33
2021,Werder Bremen,17  ,34,7,10,17,-21,31
2021,FC Schalke 04,18  ,34,3,7,24,-61,16
2022,Bayern Munich,1  ,34,24,5,5,60,77
2022,Bor. Dortmund,2  ,34,22,3,9,33,69
2022,B. Leverkusen,3  ,34,19,7,8,33,64
2022,RB Leipzig,4  ,34,17,7,10,35,58
2022,Union Berlin,5  ,34,16,9,9,6,57
2022,SC Freiburg,6  ,34,15,10,9,12,55
2022,1.FC Köln,7  ,34,14,10,10,3,52
2022,1.FSV Mainz 05,8  ,34,13,7,14,5,46
2022,TSG Hoffenheim,9  ,34,13,7,14,-2,46
2022,Bor. M'gladbach,10  ,34,12,9,13,-7,45
2022,E. Frankfurt,11  ,34,10,12,12,-4,42
2022,VfL Wolfsburg,12  ,34,12,6,16,-11,42
2022,VfL Bochum,13  ,34,12,6,16,-14,42
2022,FC Augsburg,14  ,34,10,8,16,-17,38
2022,VfB Stuttgart,15  ,34,7,12,15,-18,33
2022,Hertha BSC,16  ,34,9,6,19,-34,33
2022,Arm. Bielefeld,17  ,34,5,13,16,-26,28
2022,Greuther Fürth,18  ,34,3,9,22,-54,18
2023,Bayern Munich,1  ,34,21,8,5,54,71
2023,Bor. Dortmund,2  ,34,22,5,7,39,71
2023,RB Leipzig,3  ,34,20,6,8,23,66
2023,Union Berlin,4  ,34,18,8,8,13,62
2023,SC Freiburg,5  ,34,17,8,9,7,59
2023,B. Leverkusen,6  ,34,14,8,12,8,50
2023,E. Frankfurt,7  ,34,13,11,10,6,50
2023,VfL Wolfsburg,8  ,34,13,10,11,9,49
2023,1.FSV Mainz 05,9  ,34,12,10,12,-1,46
2023,Bor. M'gladbach,10  ,34,11,10,13,-3,43
2023,1.FC Köln,11  ,34,10,12,12,-5,42
2023,TSG Hoffenheim,12  ,34,10,6,18,-9,36
2023,Werder Bremen,13  ,34,10,6,18,-13,36
2023,VfL Bochum,14  ,34,10,5,19,-32,35
2023,FC Augsburg,15  ,34,9,7,18,-21,34
2023,VfB Stuttgart,16  ,34,7,12,15,-12,33
2023,FC Schalke 04,17  ,34,7,10,17,-36,31
2023,Hertha BSC,18  ,34,7,8,19,-27,29
